"element"	"depth"	"sequence"	"choice"
"eml"	0	0	0
"access"	1	118	0
"dataset"	1	118	128
"citation"	1	118	128
"software"	1	118	128
"protocol"	1	118	128
"additionalMetadata"	1	118	0
"describes"	2	195	0
"metadata"	2	195	0
