"element"	"depth"	"sequence"	"choice"
"researchProject"	0	0	0
"title"	0	102	101
"personnel"	0	102	101
"role"	1	133	101
"abstract"	0	102	101
"funding"	0	102	101
"studyAreaDescription"	0	102	101
"descriptor"	1	102	210
"descriptorValue"	2	228	210
"citation"	2	228	210
"citation"	1	102	210
"coverage"	1	102	210
"designDescription"	0	102	101
"description"	1	102	369
"citation"	1	102	369
"relatedProject"	0	102	101
