"element"	"depth"	"sequence"	"choice"
"methods"	0	0	0
"methodStep"	0	103	0
"dataSource"	1	122	0
"sampling"	0	103	0
"studyExtent"	1	153	0
"coverage"	2	153	174
"description"	2	153	174
"samplingDescription"	1	153	0
"spatialSamplingUnits"	1	153	0
"referencedEntityId"	2	153	261
"coverage"	2	153	261
"citation"	1	153	0
"qualityControl"	0	103	0
"description"	0	333	0
"citation"	0	333	363
"protocol"	0	333	363
"instrumentation"	0	332	0
"software"	0	332	0
"subStep"	0	332	0
