"element"	"depth"	"sequence"	"choice"
"otherEntity"	0	0	0
"attributeList"	0	103	100
"constraint"	0	103	100
"entityType"	0	103	100
"alternateIdentifier"	0	166	0
"entityName"	0	166	0
"entityDescription"	0	166	0
"physical"	0	166	0
"coverage"	0	166	0
"methods"	0	166	0
"additionalInfo"	0	166	0
