"element"	"depth"	"sequence"	"choice"
"moduleDocs"	0	0	0
"moduleName"	1	48	0
"moduleDescription"	2	48	0
"recommendedUsage"	3	48	0
"standAlone"	4	48	0
"tooltip"	4	0	0
"summary"	5	0	0
"description"	6	0	0
"example"	7	0	0
"lineage"	8	0	0
"module"	9	0	0
