"element"	"depth"	"sequence"	"choice"
"storedProcedure"	0	0	0
"attributeList"	0	121	120
"constraint"	0	121	120
"parameter"	0	121	120
"name"	0	177	0
"domainDescription"	0	177	0
"required"	0	177	0
"repeats"	0	177	0
